datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,90.0,103.15,72.15,83.5,937755,1737125,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:16:00+05:30,83.25,92.5,77.2,88.4,773240,1910805,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:17:00+05:30,88.4,98.75,86.45,98.0,494715,2066220,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:18:00+05:30,98.05,104.5,96.35,100.5,677235,2098395,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:19:00+05:30,100.3,104.95,98.85,99.6,423345,2304185,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:20:00+05:30,99.4,105.55,95.55,99.3,570765,2378675,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:21:00+05:30,98.9,103.0,94.4,98.45,400985,2378675,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:22:00+05:30,98.25,98.25,91.3,91.75,330785,2476630,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:23:00+05:30,91.55,93.65,89.6,90.1,345800,2483260,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:24:00+05:30,90.05,91.2,85.05,85.15,512720,2547025,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:25:00+05:30,85.05,89.35,82.8,85.6,549510,2576275,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:26:00+05:30,85.7,88.7,84.5,87.3,298350,2725190,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:27:00+05:30,87.3,93.25,84.55,92.95,367965,2803515,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:28:00+05:30,92.75,96.2,91.5,93.9,434135,2789995,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:29:00+05:30,93.95,95.2,88.45,92.55,291785,2854865,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:30:00+05:30,92.3,96.6,90.0,94.9,366210,2902835,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:31:00+05:30,94.9,100.0,93.55,98.9,421915,2985320,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:32:00+05:30,99.05,105.5,97.35,103.45,753805,2985320,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:33:00+05:30,103.45,108.6,99.3,99.85,706095,2912975,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:34:00+05:30,99.45,105.4,98.5,103.1,353925,2944825,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:35:00+05:30,103.1,112.4,103.1,109.15,841880,2905045,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:36:00+05:30,109.1,111.45,105.6,106.1,580060,2905045,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:37:00+05:30,106.05,111.35,104.45,106.95,473850,2950155,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:38:00+05:30,106.85,108.55,102.0,102.0,380315,3023930,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:39:00+05:30,102.0,102.5,98.55,99.15,593385,3023930,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:40:00+05:30,99.2,100.0,95.1,98.45,469755,3057795,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:41:00+05:30,98.3,98.8,92.5,92.5,394160,3081715,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:42:00+05:30,92.5,92.55,83.55,84.05,613535,3081715,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:43:00+05:30,84.45,89.0,81.7,87.95,783900,3189615,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:44:00+05:30,87.95,90.6,84.35,89.85,447005,3319160,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:45:00+05:30,89.55,92.0,86.05,86.8,645580,3458260,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:46:00+05:30,86.85,88.75,85.3,88.35,155675,3546075,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:47:00+05:30,88.25,91.85,87.8,90.7,259545,3569020,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:48:00+05:30,90.45,94.0,88.7,92.7,365235,3624205,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:49:00+05:30,92.75,95.65,92.25,92.95,385580,3645460,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:50:00+05:30,92.85,94.6,90.85,94.05,208715,3638505,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:51:00+05:30,94.05,95.8,93.5,94.8,176085,3667430,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:52:00+05:30,94.65,99.8,93.75,97.6,429780,3687060,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:53:00+05:30,97.4,99.0,96.0,97.75,282880,3687060,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:54:00+05:30,97.55,101.8,97.4,100.25,397410,3674905,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:55:00+05:30,100.15,103.95,98.3,101.25,381030,3656185,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:56:00+05:30,101.45,101.85,97.0,98.8,291655,3594695,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:57:00+05:30,98.85,103.2,97.2,101.9,304070,3617900,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:58:00+05:30,102.15,104.6,101.1,101.65,329940,3638505,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 09:59:00+05:30,101.9,105.0,101.1,102.0,196365,3593850,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:00:00+05:30,102.1,103.05,98.7,100.6,254995,3597620,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:01:00+05:30,100.5,104.4,100.1,103.05,271765,3620565,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:02:00+05:30,103.4,106.9,103.05,105.95,387140,3609710,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:03:00+05:30,106.1,107.9,101.6,104.45,419380,3563365,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:04:00+05:30,104.4,106.5,103.65,105.45,173355,3563885,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:05:00+05:30,105.45,116.95,105.4,111.2,1263210,3544515,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:06:00+05:30,111.2,116.25,110.35,112.6,657605,3419780,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:07:00+05:30,112.95,113.15,109.3,112.0,382200,3424330,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
2026-09-17 10:08:00+05:30,111.9,114.9,110.55,113.05,411060,3484195,NIFTY 23350 CE 22 SEP 26,23350.0,CE,2026-09-22
