datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,239.45,256.35,199.75,223.75,365885,2984540,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:16:00+05:30,223.0,229.3,211.4,216.35,228995,3022695,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:17:00+05:30,215.35,218.65,205.4,206.5,135785,3043560,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:18:00+05:30,206.85,209.0,199.1,201.6,212680,3071380,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:19:00+05:30,201.6,202.9,194.6,201.4,212550,3148990,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:20:00+05:30,201.6,206.1,193.1,200.85,191165,3174665,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:21:00+05:30,201.5,208.2,196.25,202.5,171795,3228225,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:22:00+05:30,203.3,210.9,201.3,210.5,148330,3282175,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:23:00+05:30,210.45,214.0,207.3,213.2,191100,3247010,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:24:00+05:30,212.6,218.6,211.0,218.3,181090,3250845,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:25:00+05:30,218.65,221.0,211.7,216.9,158145,3234725,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:26:00+05:30,216.45,217.8,210.2,212.65,99320,3253640,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:27:00+05:30,212.0,217.15,204.0,204.6,98020,3264105,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:28:00+05:30,205.15,206.05,197.3,200.2,162565,3252080,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:29:00+05:30,200.0,209.55,199.15,203.0,112905,3265015,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:30:00+05:30,202.5,206.1,197.7,200.85,91195,3282695,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:31:00+05:30,200.75,202.65,192.1,192.8,96265,3317275,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:32:00+05:30,193.1,196.8,182.2,185.45,326625,3339830,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:33:00+05:30,185.05,188.65,177.3,188.25,269295,3459885,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:34:00+05:30,188.05,190.25,182.45,185.15,201240,3491605,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:35:00+05:30,184.35,184.85,170.8,175.0,265850,3588715,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:36:00+05:30,174.3,180.55,172.75,179.95,244140,3668210,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:37:00+05:30,180.05,182.0,173.0,178.9,162305,3732950,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:38:00+05:30,178.7,185.2,177.25,185.2,184210,3781765,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:39:00+05:30,185.1,191.3,184.45,190.5,316615,3755895,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:40:00+05:30,190.75,196.75,189.1,191.85,226070,3740945,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:41:00+05:30,191.8,201.05,191.15,201.05,192595,3648905,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:42:00+05:30,201.15,216.3,200.8,215.35,405925,3648905,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:43:00+05:30,215.0,220.95,206.1,209.4,331305,3483350,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:44:00+05:30,209.9,217.75,205.2,207.5,152555,3398915,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:45:00+05:30,207.2,212.85,201.45,210.4,167635,3364985,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:46:00+05:30,210.25,213.0,206.5,206.55,78650,3400670,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:47:00+05:30,207.05,208.1,199.15,202.45,112125,3422250,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:48:00+05:30,202.4,205.45,195.75,198.45,88010,3407885,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:49:00+05:30,198.0,198.25,191.3,197.6,107835,3427190,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:50:00+05:30,197.75,201.45,196.0,196.6,77480,3420820,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:51:00+05:30,196.3,196.8,192.05,192.85,41600,3433040,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:52:00+05:30,192.5,194.65,184.1,188.65,131625,3441230,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:53:00+05:30,188.45,191.95,186.1,188.3,103285,3452540,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:54:00+05:30,187.55,187.55,181.5,184.8,144170,3507595,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:55:00+05:30,184.0,187.6,180.0,183.45,113360,3544775,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:56:00+05:30,183.3,189.7,183.15,186.5,140985,3576690,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:57:00+05:30,187.05,189.7,181.3,183.1,101530,3605030,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:58:00+05:30,182.8,184.45,179.3,183.45,104130,3619330,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 09:59:00+05:30,183.25,184.45,179.05,183.1,81705,3634930,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:00:00+05:30,182.5,187.5,180.9,183.9,144820,3646240,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:01:00+05:30,183.9,184.3,179.0,180.15,69290,3645525,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:02:00+05:30,180.4,180.75,175.7,176.4,133705,3644940,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:03:00+05:30,176.1,181.75,174.05,178.9,124215,3639675,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:04:00+05:30,178.45,179.85,176.05,177.05,74165,3658135,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:05:00+05:30,177.2,177.2,163.95,170.6,359970,3689400,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:06:00+05:30,171.0,171.6,163.9,167.8,188825,3723850,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:07:00+05:30,167.25,172.2,167.25,169.15,218075,3723850,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:08:00+05:30,169.1,170.55,165.0,168.1,92495,3743870,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:09:00+05:30,167.55,169.45,165.75,165.8,73125,3757455,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:10:00+05:30,165.6,167.45,161.1,161.4,263510,3768895,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:11:00+05:30,161.3,164.95,157.4,160.0,278785,3884335,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:12:00+05:30,159.95,161.8,157.55,161.65,184925,3919630,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:13:00+05:30,161.7,163.35,158.3,161.05,176410,3957590,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:14:00+05:30,161.2,164.0,160.85,163.15,120445,4004325,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:15:00+05:30,163.0,164.0,158.0,163.6,125905,4002570,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:16:00+05:30,164.0,166.0,162.0,164.25,201760,4025580,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:17:00+05:30,164.0,167.85,163.05,167.85,189150,4030780,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:18:00+05:30,167.9,169.95,166.1,167.95,246740,4001985,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:19:00+05:30,168.05,170.5,166.5,170.15,142285,4001985,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:20:00+05:30,169.8,172.0,167.3,167.8,208195,3995875,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:21:00+05:30,167.6,170.55,165.0,169.65,137670,3995420,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:22:00+05:30,170.1,172.65,169.25,172.0,122330,3995420,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:23:00+05:30,172.0,175.55,171.3,175.05,229840,3962010,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:24:00+05:30,175.25,176.15,172.9,175.5,141245,3937700,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:25:00+05:30,175.6,178.0,174.2,176.0,148915,3937505,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:26:00+05:30,176.25,178.45,175.0,175.3,137150,3934905,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:27:00+05:30,175.4,176.0,172.05,175.05,123305,3875430,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:28:00+05:30,174.7,177.0,172.8,176.5,57850,3863665,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:29:00+05:30,176.7,178.0,171.75,173.9,84435,3861130,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:30:00+05:30,173.35,176.3,171.85,175.85,96330,3872375,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:31:00+05:30,176.0,182.5,176.0,180.35,340210,3816345,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:32:00+05:30,180.5,181.0,177.3,180.95,127335,3765515,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:33:00+05:30,180.9,182.9,180.1,181.35,107055,3787550,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:34:00+05:30,182.0,185.0,180.2,183.3,140985,3738280,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:35:00+05:30,183.7,186.9,175.75,176.3,226915,3738280,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
2026-09-17 10:36:00+05:30,176.2,178.45,171.3,171.3,161200,3721510,NIFTY 23400 PE 22 SEP 26,23400.0,PE,2026-09-22
