datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-17 09:15:00+05:30,302.4,333.4,162.9,225.6,1865380,1464300,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:16:00+05:30,228.0,241.9,197.45,205.1,1900300,2073740,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:17:00+05:30,207.75,212.45,181.35,187.2,1146780,2073740,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:18:00+05:30,186.85,190.8,172.3,177.6,984800,3065780,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:19:00+05:30,177.9,179.95,167.45,175.75,772420,3065780,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:20:00+05:30,175.8,184.65,160.0,177.0,1100500,3065780,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:21:00+05:30,173.3,185.0,165.3,173.05,797040,3674040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:22:00+05:30,175.75,195.5,173.55,192.8,1112720,3674040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:23:00+05:30,192.95,199.9,188.75,198.2,1015360,3674040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:24:00+05:30,199.8,210.95,193.15,210.95,1042200,3933040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:25:00+05:30,212.9,216.2,194.15,210.4,1232580,3933040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:26:00+05:30,205.15,213.05,198.45,202.05,866340,3933040,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:27:00+05:30,200.55,210.85,182.9,184.75,879360,4083140,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:28:00+05:30,182.9,186.3,173.3,179.9,863860,4083140,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
2026-09-17 09:29:00+05:30,179.4,196.2,176.85,183.0,753880,4224240,SENSEX 74300 PE 17 SEP 26,74300.0,PE,2026-09-17
