datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-22 09:15:00+05:30,2.0,7.65,2.0,6.9,5631015,8194680,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:16:00+05:30,6.9,8.55,5.8,8.25,5697120,8194680,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:17:00+05:30,8.2,9.05,7.65,7.95,3543995,8360560,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:18:00+05:30,8.0,8.1,6.35,6.5,2477670,9194900,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:19:00+05:30,6.55,7.0,6.05,6.8,2721745,9194900,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:20:00+05:30,6.8,7.9,6.25,7.4,2746380,9372415,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:21:00+05:30,7.35,7.45,6.35,6.35,1778530,9429810,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:22:00+05:30,6.35,6.75,5.75,6.75,1526590,9612135,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:23:00+05:30,6.7,6.85,6.0,6.05,1105390,9702290,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:24:00+05:30,6.05,6.2,5.6,6.1,1164085,9841065,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:25:00+05:30,6.05,6.75,6.05,6.65,1406535,9853545,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:26:00+05:30,6.65,7.25,6.45,7.15,1298375,10024495,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:27:00+05:30,7.1,7.75,6.7,6.75,1409980,10024495,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:28:00+05:30,6.75,6.9,6.0,6.35,1707290,10174905,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:29:00+05:30,6.35,6.45,5.35,5.45,1371175,10335390,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:30:00+05:30,5.45,6.1,5.3,5.75,1338220,10464480,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:31:00+05:30,5.75,6.15,5.5,5.7,946270,10475790,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:32:00+05:30,5.7,6.45,5.55,6.4,771030,10574850,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:33:00+05:30,6.4,6.65,6.15,6.6,845715,10573615,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:34:00+05:30,6.55,6.6,6.1,6.15,684385,10573615,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:35:00+05:30,6.1,6.65,5.95,6.6,887185,10612875,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:36:00+05:30,6.6,6.7,6.3,6.45,625495,10677875,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:37:00+05:30,6.45,6.45,5.65,5.85,792025,10794810,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:38:00+05:30,5.85,5.9,5.3,5.8,855530,10763675,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:39:00+05:30,5.75,5.85,5.35,5.65,1213940,10758995,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:40:00+05:30,5.65,5.9,5.55,5.65,528450,10607480,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:41:00+05:30,5.6,5.6,5.05,5.25,798980,10628735,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:42:00+05:30,5.25,5.35,5.0,5.0,624455,10625225,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:43:00+05:30,5.0,5.35,4.85,5.15,1008800,10664420,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:44:00+05:30,5.2,5.3,4.9,4.9,641485,10679500,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
2026-09-22 09:45:00+05:30,4.9,5.2,4.75,5.1,865345,10687690,NIFTY 23250 PE 22 SEP 26,23250.0,PE,2026-09-22
