datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-24 09:15:00+05:30,13.25,35.0,13.25,21.9,1612920,1386460,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:16:00+05:30,22.45,35.8,22.45,33.95,1432880,1640640,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:17:00+05:30,34.0,41.65,31.1,39.0,1087940,1640640,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:18:00+05:30,39.4,39.95,36.15,38.15,975620,1725140,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:19:00+05:30,38.8,50.75,36.7,47.8,1323780,1725140,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:20:00+05:30,49.4,56.8,45.2,50.05,1409280,1725140,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:21:00+05:30,49.65,51.7,43.85,44.35,834540,1897120,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:22:00+05:30,44.8,46.0,38.85,39.7,865940,1897120,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:23:00+05:30,40.0,41.95,38.3,40.8,637340,1897120,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:24:00+05:30,40.25,41.0,37.3,39.65,632900,2131360,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:25:00+05:30,40.25,43.3,39.65,40.55,762700,2131360,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:26:00+05:30,40.55,42.9,37.8,40.55,720720,2131360,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:27:00+05:30,40.75,42.0,39.0,39.4,357880,2448940,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:28:00+05:30,39.3,40.5,37.55,37.95,326140,2448940,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:29:00+05:30,38.25,39.0,35.4,35.4,502120,2500900,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:30:00+05:30,35.75,38.75,34.3,37.1,519640,2500900,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:31:00+05:30,36.95,37.3,35.5,35.5,298360,2500900,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:32:00+05:30,34.4,34.4,31.45,32.75,701720,2458560,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:33:00+05:30,32.6,35.95,32.05,35.15,475760,2458560,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:34:00+05:30,34.85,35.25,34.0,34.15,322520,2458560,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:35:00+05:30,33.5,34.9,31.6,32.9,253260,2517080,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:36:00+05:30,33.05,33.85,31.0,31.6,235580,2517080,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:37:00+05:30,31.8,35.4,31.5,35.4,245280,2536100,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:38:00+05:30,35.5,40.15,35.0,39.85,623100,2536100,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:39:00+05:30,39.9,41.75,38.15,41.1,597600,2536100,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:40:00+05:30,41.1,46.35,39.45,41.7,1079720,2578740,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:41:00+05:30,41.8,46.45,41.8,44.55,676780,2578740,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:42:00+05:30,44.1,47.7,42.8,44.35,568620,2578740,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:43:00+05:30,44.4,49.95,43.7,48.9,638340,2563160,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
2026-09-24 09:44:00+05:30,49.35,50.2,47.9,48.75,526020,2563160,SENSEX 73800 PE 24 SEP 26,73800.0,PE,2026-09-24
