datetime,open,high,low,close,volume,oi,tradingsymbol,strike,type,expiry
2026-09-24 09:15:00+05:30,550.0,550.0,357.65,422.65,373480,65180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:16:00+05:30,410.0,410.15,352.7,356.8,414660,267500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:17:00+05:30,352.85,371.2,337.65,341.9,246380,267500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:18:00+05:30,339.9,353.2,333.45,345.35,175740,481160,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:19:00+05:30,340.2,347.6,311.05,319.2,265100,481160,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:20:00+05:30,310.35,331.35,309.05,322.4,244940,481160,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:21:00+05:30,322.8,342.6,320.9,339.55,205120,741020,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:22:00+05:30,342.0,351.4,337.25,348.0,239080,741020,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:23:00+05:30,348.9,353.3,338.85,340.25,156160,741020,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:24:00+05:30,342.1,348.7,323.3,323.3,136040,742960,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:25:00+05:30,325.3,331.8,312.0,331.6,172840,742960,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:26:00+05:30,327.65,342.45,320.15,330.6,152220,742960,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:27:00+05:30,331.1,334.65,318.15,326.3,99920,838920,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:28:00+05:30,328.75,335.0,323.4,333.9,67420,838920,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:29:00+05:30,332.7,345.5,327.2,342.95,119760,890180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:30:00+05:30,342.85,347.9,327.6,337.8,117120,890180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:31:00+05:30,337.6,343.2,334.3,340.85,69240,890180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:32:00+05:30,345.2,362.95,345.2,352.65,267940,833980,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:33:00+05:30,351.35,354.65,334.1,343.1,157520,833980,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:34:00+05:30,343.15,345.0,338.35,342.55,77140,833980,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:35:00+05:30,347.0,354.25,340.35,347.75,116080,879480,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:36:00+05:30,345.45,354.1,344.55,350.8,55400,879480,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:37:00+05:30,349.7,351.75,336.0,336.0,72380,893120,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:38:00+05:30,335.45,337.25,315.5,315.5,230060,893120,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:39:00+05:30,314.4,323.4,308.0,309.8,159140,893120,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:40:00+05:30,310.95,315.0,291.65,308.2,264160,1000740,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:41:00+05:30,305.95,306.65,289.0,296.65,209480,1000740,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:42:00+05:30,296.3,302.35,286.7,298.75,151580,1000740,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:43:00+05:30,298.15,301.55,282.5,285.85,173940,1180280,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:44:00+05:30,285.35,288.85,281.0,284.45,115080,1180280,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:45:00+05:30,283.3,288.25,265.15,287.65,380320,1313140,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:46:00+05:30,286.8,297.15,273.4,276.85,288900,1313140,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:47:00+05:30,277.2,282.0,272.15,272.5,162920,1313140,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:48:00+05:30,269.8,284.45,269.8,281.3,178060,1451340,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:49:00+05:30,280.55,296.85,280.1,296.8,192640,1451340,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:50:00+05:30,294.35,297.7,285.6,291.25,201820,1451340,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:51:00+05:30,292.15,295.2,281.2,282.85,136760,1516820,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:52:00+05:30,281.6,291.35,281.6,285.35,88280,1516820,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:53:00+05:30,285.0,287.2,271.8,272.75,136900,1516820,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:54:00+05:30,271.05,278.0,270.75,271.9,114400,1564780,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:55:00+05:30,269.65,271.65,254.1,266.15,405220,1564780,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:56:00+05:30,266.75,273.85,263.9,271.2,201560,1678380,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:57:00+05:30,271.1,273.0,266.55,268.85,123300,1678380,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:58:00+05:30,269.5,282.85,268.25,279.6,200380,1678380,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 09:59:00+05:30,278.95,281.35,272.55,278.7,105420,1753280,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:00:00+05:30,278.55,292.5,278.55,288.9,247460,1753280,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:01:00+05:30,291.7,295.15,283.65,284.4,231580,1753280,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:02:00+05:30,285.1,295.0,276.8,292.0,152640,1701260,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:03:00+05:30,290.8,298.7,288.9,295.35,145340,1701260,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:04:00+05:30,295.05,299.35,291.6,292.0,148080,1673500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:05:00+05:30,292.15,293.85,276.65,289.4,219660,1673500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:06:00+05:30,290.05,292.55,282.55,285.2,123800,1673500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:07:00+05:30,282.75,293.0,282.7,293.0,61180,1670500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:08:00+05:30,293.55,304.3,293.15,303.75,190860,1670500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:09:00+05:30,303.9,308.8,300.1,300.2,255900,1670500,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:10:00+05:30,298.8,300.8,279.05,280.7,231720,1645080,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:11:00+05:30,280.45,289.3,270.5,284.35,238920,1645080,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:12:00+05:30,283.3,284.7,272.1,272.9,114060,1656200,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:13:00+05:30,271.95,279.1,267.0,267.0,127640,1656200,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:14:00+05:30,263.8,265.05,254.0,260.5,299400,1656200,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:15:00+05:30,257.75,266.7,246.7,252.15,291520,1792180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:16:00+05:30,253.1,264.75,252.3,252.35,179100,1792180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
2026-09-24 10:17:00+05:30,250.35,250.65,235.25,245.1,439420,1792180,SENSEX 74000 CE 24 SEP 26,74000.0,CE,2026-09-24
